channel_id,view_count,sub_count,video_count,created_at,created_date
UCFUtqTcgJgRnmZ3tMU6P74Q,1704640449,3600000,1103,2024-02-07 11:40:20.474614+00,2024-02-07
UCFycVZXj9fRWB_OZfFKe2PA,415175755,1070000,689,2024-02-07 11:40:20.474614+00,2024-02-07
UC9i2Qgd5lizhVgJrdnxunKw,358324446,1830000,416,2024-02-07 11:40:20.474614+00,2024-02-07
UCSKNqZgZwPlKrKobdfcPGPg,16066667,179000,119,2024-02-07 11:40:20.474614+00,2024-02-07
UCeo3JwE3HezUWFdVcehQk9Q,359853624,2770000,702,2024-02-07 11:40:20.474614+00,2024-02-07
UCPwxSX0DYDMQxCvgfeVDv_g,728259199,2510000,1027,2024-02-07 11:40:20.474614+00,2024-02-07
UCvw1LiGdyulhnGksJlGWB6g,3271921204,9570000,478,2024-02-07 11:40:20.474614+00,2024-02-07
UCtcaZ5FUqaNXGX6xhpiGPQA,538312022,1600000,749,2024-02-07 11:40:20.474614+00,2024-02-07
UCGpNjY0Xq2GJLXh4OOX1LOA,275092076,1450000,362,2024-02-07 11:40:20.474614+00,2024-02-07
UCIF_gt4BfsWyM_2GOcKXyEQ,314400882,1580000,732,2024-02-07 11:40:20.474614+00,2024-02-07
UCxUzQ3wu0oJP_8YLWt71WgQ,660013323,1500000,1075,2024-02-07 11:40:20.474614+00,2024-02-07
UCjhwHd3mgmqm0ONm0bXKmng,249742667,1380000,305,2024-02-07 11:40:20.474614+00,2024-02-07
UCiWXd0nmBjlKROwzMyPV-Nw,837116564,1380000,4170,2024-02-07 11:40:20.474614+00,2024-02-07
UCI1zO6-A3h7DHg-R_x34vLg,410856114,1360000,4915,2024-02-07 11:40:20.474614+00,2024-02-07
UC7ia-A8gma8qcdC6GDcjwsQ,313474286,1380000,575,2024-02-07 11:40:20.474614+00,2024-02-07
UCpSB70OL7IO7RnZCj_7MQDw,512290042,1360000,2494,2024-02-07 11:40:20.474614+00,2024-02-07
UC7XxnhjdYjiQJ3m80K_N_4g,178805133,1370000,141,2024-02-07 11:40:20.474614+00,2024-02-07
