video_id,view_count,like_count,comment_count,created_date,created_at
i4cc6svUDrs,10529,54,2,2024-02-12,2024-02-12 14:10:13.869971+00
7wzTdaucyOY,28361,486,7,2024-02-12,2024-02-12 14:10:13.869971+00
9CMTtgJlT2I,580204,6865,245,2024-02-12,2024-02-12 14:10:13.869971+00
rbag-9DyUpg,69086,366,36,2024-02-12,2024-02-12 14:10:13.869971+00
fo5iETkXQjE,82810,421,57,2024-02-12,2024-02-12 14:10:13.869971+00
Ok9dzLmplZo,52062,254,18,2024-02-12,2024-02-12 14:10:13.869971+00
9x47SkUIUPc,62486,285,55,2024-02-12,2024-02-12 14:10:13.869971+00
Oxh1QJZWGsw,514892,17518,96,2024-02-12,2024-02-12 14:10:13.869971+00
OX26pcUXjDM,15879,243,2,2024-02-12,2024-02-12 14:10:13.869971+00
MDmBRmaxJ9k,21086,342,4,2024-02-12,2024-02-12 14:10:13.869971+00
rmvHBuvkVdg,131295,3701,44,2024-02-12,2024-02-12 14:10:13.869971+00
aWzAkwA9mIU,338313,10002,229,2024-02-12,2024-02-12 14:10:13.869971+00
aLmD0RGh36o,237546,8668,47,2024-02-12,2024-02-12 14:10:13.869971+00
iL8HB7TwwFI,112661,4115,14,2024-02-12,2024-02-12 14:10:13.869971+00
WlfceDRvT_M,10053,200,1,2024-02-12,2024-02-12 14:10:13.869971+00
0Pd4yVjFb3Q,136056,3597,12,2024-02-12,2024-02-12 14:10:13.869971+00
K3gbvYXaM6E,17945,353,9,2024-02-12,2024-02-12 14:10:13.869971+00
o9w2thlKcbw,571087,20917,100,2024-02-12,2024-02-12 14:10:13.869971+00
oVqTd6VTV98,460424,12880,47,2024-02-12,2024-02-12 14:10:13.869971+00
U1-zqqo6yB0,10597,201,4,2024-02-12,2024-02-12 14:10:13.869971+00
9GVCJChIR2I,524747,16650,183,2024-02-12,2024-02-12 14:10:13.869971+00
DOg3MF6ZsTA,517010,14059,145,2024-02-12,2024-02-12 14:10:13.869971+00
pJ_OygGz76A,98085,1521,76,2024-02-12,2024-02-12 14:10:13.869971+00
Q3l6UR8r09Y,278231,3360,260,2024-02-12,2024-02-12 14:10:13.869971+00
2u9tosTlLQQ,160696,2151,359,2024-02-12,2024-02-12 14:10:13.869971+00
i8cAmc785wA,165377,2237,91,2024-02-12,2024-02-12 14:10:13.869971+00
S0CiOpxapnI,275247,6785,476,2024-02-12,2024-02-12 14:10:13.869971+00
bZwSdkTzTHc,117660,1599,122,2024-02-12,2024-02-12 14:10:13.869971+00
uJDAztOYQRY,88614,1321,71,2024-02-12,2024-02-12 14:10:13.869971+00
OdgRt2cDWpQ,390791,4919,325,2024-02-12,2024-02-12 14:10:13.869971+00
DZmh9OE3g5k,150403,3029,293,2024-02-12,2024-02-12 14:10:13.869971+00
h7mp9EZb5UY,229204,2596,116,2024-02-12,2024-02-12 14:10:13.869971+00
Dwq5_kv3ha8,51834,1186,13,2024-02-12,2024-02-12 14:10:13.869971+00
IaYO2hHKoMU,440297,6283,304,2024-02-12,2024-02-12 14:10:13.869971+00
0UNMlkdSONw,382559,7986,102,2024-02-12,2024-02-12 14:10:13.869971+00
D966idisR9c,221664,4676,307,2024-02-12,2024-02-12 14:10:13.869971+00
YQLYYXiLX90,475179,16003,249,2024-02-12,2024-02-12 14:10:13.869971+00
zJqDwREM6Ik,221380,2356,108,2024-02-12,2024-02-12 14:10:13.869971+00
P5GBTTk2B2g,163989,2024,149,2024-02-12,2024-02-12 14:10:13.869971+00
uufPgi7CT4g,155246,1837,181,2024-02-12,2024-02-12 14:10:13.869971+00
cTfTqE78yy8,204439,2350,150,2024-02-12,2024-02-12 14:10:13.869971+00
cQTf84t2ZPU,386936,5052,300,2024-02-12,2024-02-12 14:10:13.869971+00
ZhT-09eBsC4,428871,4008,323,2024-02-12,2024-02-12 14:10:13.869971+00
EbSM-_RwckU,82878,1631,29,2024-02-12,2024-02-12 14:10:13.869971+00
vbgYKWECu10,80230,2023,27,2024-02-12,2024-02-12 14:10:13.869971+00
_X40mGolwhw,361153,13041,569,2024-02-12,2024-02-12 14:10:13.869971+00
xTsUok464mY,596865,21324,478,2024-02-12,2024-02-12 14:10:13.869971+00
CO3_UQNMNkU,166200,4307,35,2024-02-12,2024-02-12 14:10:13.869971+00
Nsg1yJ8ho0U,105056,2601,72,2024-02-12,2024-02-12 14:10:13.869971+00
1tehUR5UE1Y,41878,1774,45,2024-02-12,2024-02-12 14:10:13.869971+00
dIA8aktAXrY,934295,33185,2568,2024-02-12,2024-02-12 14:10:13.869971+00
tUmHbRo5Dz8,277256,10084,130,2024-02-12,2024-02-12 14:10:13.869971+00
TeNWF4pRrxk,35592,1013,27,2024-02-12,2024-02-12 14:10:13.869971+00
MkGDtpID5Go,102815,1984,21,2024-02-12,2024-02-12 14:10:13.869971+00
-oloQ0_ALmo,92593,1459,21,2024-02-12,2024-02-12 14:10:13.869971+00
dxgNQ8WKDc4,382968,7835,180,2024-02-12,2024-02-12 14:10:13.869971+00
pmyZpQlF_Gw,1626,19,0,2024-02-12,2024-02-12 14:10:13.869971+00
Xm40x2DiIfs,11141,67,1,2024-02-12,2024-02-12 14:10:13.869971+00
Twu5d1qbpLI,1698,22,1,2024-02-12,2024-02-12 14:10:13.869971+00
HCG5qL-bsOg,8614,108,1,2024-02-12,2024-02-12 14:10:13.869971+00
a6NZpIrn97o,2245,21,0,2024-02-12,2024-02-12 14:10:13.869971+00
rDime9dZzgc,18504,578,10,2024-02-12,2024-02-12 14:10:13.869971+00
12YYYXKzQZ0,31052,735,27,2024-02-12,2024-02-12 14:10:13.869971+00
H94Xn25t1TE,1803,8,1,2024-02-12,2024-02-12 14:10:13.869971+00
vcnZy4fPil8,10040,60,4,2024-02-12,2024-02-12 14:10:13.869971+00
